,transaction_id,client_id,transaction_amount,transaction_date,counterparty_id,counterparty_country,credit_debit,transaction_type
45,T00046,C0146,609.59,2024-04-14T00:00:00,CP25771,Netherlands,debit,wire
46,T00047,C0942,2025.11,2024-12-15T00:00:00,CP13980,France,credit,wire
47,T00048,C0902,5348.55,2024-08-31T00:00:00,CP32882,Belgium,debit,wire
48,T00049,C0015,238.89,2024-04-30T00:00:00,CP69669,Norway,debit,internal transfer
49,T00050,C0891,4350.85,2024-12-21T00:00:00,CP83065,Spain,credit,online payment
50,T00051,C0280,629.6,2024-12-25T00:00:00,CP83823,Germany,debit,cash
51,T00052,C0492,130.75,2024-12-20T00:00:00,CP30092,Belgium,debit,cash
52,T00053,C0221,134.75,2024-12-13T00:00:00,CP59469,Austria,credit,internal transfer
53,T00054,C0031,75.74,2024-08-09T00:00:00,CP71040,Italy,credit,cash
54,T00055,C0423,384.8,2024-01-07T00:00:00,CP85597,Norway,credit,internal transfer
55,T00056,C0919,90.07,2024-02-02T00:00:00,CP46808,Switzerland,credit,internal transfer
56,T00057,C0727,661.37,2024-09-02T00:00:00,CP36568,South Sudan,credit,internal transfer
57,T00058,C0822,622.0,2024-12-09T00:00:00,CP45646,Sweden,credit,online payment
58,T00059,C0987,4111.32,2024-04-30T00:00:00,CP68718,Switzerland,credit,internal transfer
59,T00060,C0830,3.9,2024-11-28T00:00:00,CP15783,Sweden,debit,online payment
60,T00061,C0895,1656.61,2024-08-10T00:00:00,CP83261,Spain,debit,online payment
61,T00062,C0975,2427.69,2024-04-28T00:00:00,CP16198,Norway,credit,cash
62,T00063,C0294,905.22,2024-11-02T00:00:00,CP58142,Sweden,debit,wire
63,T00064,C0468,3437.55,2024-10-05T00:00:00,CP31482,Finland,credit,online payment
64,T00065,C0383,2149.41,2024-07-09T00:00:00,CP82223,Finland,debit,online payment
65,T00066,C0554,314.94,2024-11-23T00:00:00,CP55454,France,credit,wire
66,T00067,C0417,382.23,2024-07-24T00:00:00,CP58773,Germany,debit,online payment
67,T00068,C0479,8210.34,2024-05-29T00:00:00,CP29350,Finland,credit,wire
68,T00069,C0834,2233.5,2024-09-10T00:00:00,CP98566,France,debit,cash
69,T00070,C0556,1047.91,2024-08-09T00:00:00,CP21330,Netherlands,credit,internal transfer
70,T00071,C0617,583.92,2024-03-11T00:00:00,CP53621,Finland,debit,wire
71,T00072,C0947,888.42,2024-08-26T00:00:00,CP69083,Netherlands,debit,internal transfer
72,T00073,C0772,1549.63,2024-12-14T00:00:00,CP31532,Switzerland,credit,wire
73,T00074,C0912,87.39,2024-09-16T00:00:00,CP91928,Belgium,debit,internal transfer
74,T00075,C0149,1826.55,2024-10-03T00:00:00,CP92928,Germany,debit,cash
75,T00076,C0852,2731.37,2024-10-20T00:00:00,CP28287,Denmark,debit,online payment
76,T00077,C0836,3143.11,2024-12-20T00:00:00,CP61950,Germany,debit,cash
77,T00078,C0084,3468.23,2024-02-27T00:00:00,CP75717,Belgium,debit,online payment
78,T00079,C0558,85.77,2024-02-23T00:00:00,CP85427,Finland,credit,internal transfer
79,T00080,C0005,587.98,2024-10-08T00:00:00,CP97115,Austria,credit,internal transfer
80,T00081,C0965,359.93,2024-04-26T00:00:00,CP99654,Denmark,debit,online payment
81,T00082,C0727,3099.74,2024-09-07T00:00:00,CP25325,South Africa,credit,wire
82,T00083,C0334,2632.45,2024-07-10T00:00:00,CP81886,Germany,debit,cash
83,T00084,C0960,1004.92,2024-12-02T00:00:00,CP61485,Spain,credit,wire
84,T00085,C0225,1720.86,2024-07-27T00:00:00,CP23949,Italy,debit,internal transfer
85,T00086,C0232,2045.91,2024-08-20T00:00:00,CP30408,France,debit,cash
86,T00087,C0855,2367.97,2024-04-06T00:00:00,CP10078,France,debit,cash
87,T00088,C0915,3155.82,2024-09-15T00:00:00,CP24129,Belgium,debit,wire
88,T00089,C0508,311.8,2024-02-06T00:00:00,CP50180,Italy,credit,online payment
89,T00090,C0248,2819.54,2024-06-04T00:00:00,CP37426,Italy,credit,online payment
90,T00091,C0555,2033.6,2024-04-07T00:00:00,CP13080,Norway,credit,cash
91,T00092,C0017,63.18,2024-03-02T00:00:00,CP37143,Belgium,debit,online payment
92,T00093,C0191,3516.53,2024-12-14T00:00:00,CP19350,Austria,credit,internal transfer
93,T00094,C0069,584.54,2024-03-01T00:00:00,CP65301,Italy,credit,wire
94,T00095,C0968,884.82,2024-07-25T00:00:00,CP11385,Austria,debit,wire
95,T00096,C0715,1820.42,2024-06-24T00:00:00,CP60822,Spain,debit,wire
96,T00097,C0384,467.52,2024-08-07T00:00:00,CP91167,Germany,debit,cash
97,T00098,C0604,5040.38,2024-11-21T00:00:00,CP90583,Norway,credit,cash
98,T00099,C0608,85.55,2024-09-08T00:00:00,CP14131,Italy,credit,online payment
99,T00100,C0512,770.24,2024-01-16T00:00:00,CP43525,Italy,debit,wire
100,T00101,C0718,1283.38,2024-07-15T00:00:00,CP80650,Belgium,credit,internal transfer
101,T00102,C0789,206.3,2024-12-18T00:00:00,CP86955,Norway,debit,internal transfer
102,T00103,C0636,4251.15,2024-12-16T00:00:00,CP74265,Belgium,credit,wire
103,T00104,C0028,955.97,2024-09-06T00:00:00,CP21380,Norway,debit,cash
104,T00105,C0487,581.12,2024-02-17T00:00:00,CP20874,Austria,credit,cash
105,T00106,C0252,2576.73,2024-11-19T00:00:00,CP22321,Finland,credit,cash
106,T00107,C0466,955.59,2024-06-21T00:00:00,CP41637,Germany,credit,internal transfer
107,T00108,C0619,8270.36,2024-01-18T00:00:00,CP52319,Spain,debit,wire
108,T00109,C0318,1608.72,2024-12-26T00:00:00,CP69139,Italy,debit,internal transfer
109,T00110,C0222,1902.37,2024-02-18T00:00:00,CP11349,Netherlands,debit,wire
110,T00111,C0701,274.81,2024-12-11T00:00:00,CP13700,Finland,credit,internal transfer
111,T00112,C0958,1411.63,2024-02-05T00:00:00,CP75807,Finland,debit,internal transfer
112,T00113,C0186,1244.18,2024-12-22T00:00:00,CP84062,Belgium,credit,online payment
113,T00114,C0398,3232.0,2024-10-01T00:00:00,CP95682,France,debit,internal transfer
114,T00115,C0742,99.88,2024-10-26T00:00:00,CP25423,Finland,debit,wire
115,T00116,C0715,1454.39,2024-03-30T00:00:00,CP69208,Netherlands,credit,internal transfer
116,T00117,C0301,3842.21,2024-01-21T00:00:00,CP48048,Austria,credit,online payment
117,T00118,C0616,805.19,2024-02-26T00:00:00,CP30289,Austria,debit,online payment
118,T00119,C0992,3632.61,2024-04-11T00:00:00,CP73195,Switzerland,debit,wire
119,T00120,C0498,572.81,2024-07-17T00:00:00,CP95704,Netherlands,credit,online payment
120,T00121,C0928,388.7,2024-07-11T00:00:00,CP15750,Denmark,credit,online payment
121,T00122,C0310,403.44,2024-06-23T00:00:00,CP99526,France,debit,cash
122,T00123,C0598,3735.62,2024-04-27T00:00:00,CP68283,Denmark,credit,wire
123,T00124,C0828,2413.15,2024-02-29T00:00:00,CP23308,France,debit,online payment
124,T00125,C0169,299.8,2024-11-05T00:00:00,CP83763,Italy,debit,online payment
125,T00126,C0025,1152.85,2024-07-06T00:00:00,CP66357,Spain,debit,online payment
126,T00127,C0022,2464.8,2024-12-21T00:00:00,CP58272,Denmark,credit,wire
127,T00128,C0651,1568.27,2024-08-02T00:00:00,CP72083,Finland,debit,cash
128,T00129,C0035,653.96,2024-10-12T00:00:00,CP65345,Belgium,debit,internal transfer
129,T00130,C0069,134.79,2024-05-14T00:00:00,CP97123,Spain,credit,cash
130,T00131,C0367,1287.29,2024-09-16T00:00:00,CP41880,Viet Nam,credit,wire
131,T00132,C0929,5258.51,2024-03-11T00:00:00,CP25861,Austria,credit,wire
132,T00133,C0025,353.46,2024-10-19T00:00:00,CP34483,Finland,debit,wire
133,T00134,C0681,437.6,2024-12-03T00:00:00,CP81554,Belgium,credit,internal transfer
134,T00135,C0383,1630.04,2024-09-01T00:00:00,CP18758,Finland,credit,wire
135,T00136,C0995,3121.28,2024-04-04T00:00:00,CP86299,Venezuela,debit,cash
136,T00137,C0424,246.26,2024-01-21T00:00:00,CP40441,Netherlands,debit,online payment
137,T00138,C0208,318.9,2024-03-09T00:00:00,CP61211,Germany,debit,online payment
138,T00139,C0012,929.98,2024-09-18T00:00:00,CP11594,Italy,debit,wire
139,T00140,C0116,1487.04,2024-05-16T00:00:00,CP86752,Italy,credit,wire
140,T00141,C0544,17.79,2024-03-11T00:00:00,CP51881,Netherlands,debit,internal transfer
141,T00142,C0943,558.57,2024-09-02T00:00:00,CP37991,Spain,credit,online payment
142,T00143,C0194,2181.5,2024-09-01T00:00:00,CP72748,Norway,debit,internal transfer
143,T00144,C0220,208.6,2024-07-17T00:00:00,CP82487,Sweden,debit,internal transfer
144,T00145,C0649,1972.51,2024-02-06T00:00:00,CP29151,Finland,credit,internal transfer
145,T00146,C0684,271.54,2024-09-18T00:00:00,CP29058,Monaco,credit,internal transfer
146,T00147,C0882,2858.55,2024-09-01T00:00:00,CP77290,Germany,credit,cash
147,T00148,C0075,1670.15,2024-05-06T00:00:00,CP92174,Austria,debit,wire
148,T00149,C0772,1067.19,2024-11-16T00:00:00,CP57411,Bolivia,debit,wire
149,T00150,C0961,510.67,2024-05-14T00:00:00,CP63266,Netherlands,credit,internal transfer
150,T00151,C0062,2791.65,2024-01-22T00:00:00,CP52006,Spain,credit,internal transfer
151,T00152,C0800,1003.83,2024-04-08T00:00:00,CP98035,Belgium,debit,cash
152,T00153,C0744,5340.93,2024-07-19T00:00:00,CP68959,Italy,credit,internal transfer
153,T00154,C0621,3620.32,2024-04-25T00:00:00,CP26688,Finland,credit,cash
154,T00155,C0491,1908.48,2024-09-17T00:00:00,CP63284,Sweden,debit,cash
155,T00156,C0662,4109.44,2024-11-21T00:00:00,CP30615,Sweden,credit,internal transfer
156,T00157,C0248,1827.48,2024-05-27T00:00:00,CP75160,Netherlands,debit,wire
157,T00158,C0792,156.04,2024-11-03T00:00:00,CP14051,Sweden,debit,cash
158,T00159,C0428,137.27,2024-02-13T00:00:00,CP29079,Netherlands,debit,wire
159,T00160,C0792,2051.1,2024-07-08T00:00:00,CP46357,Spain,credit,wire
160,T00161,C0403,659.32,2024-11-28T00:00:00,CP54758,France,credit,cash
161,T00162,C0311,3619.74,2024-11-05T00:00:00,CP52872,France,credit,online payment
162,T00163,C0942,736.75,2024-08-28T00:00:00,CP77035,Germany,credit,cash
163,T00164,C0500,975.83,2024-12-18T00:00:00,CP87274,Switzerland,debit,online payment
164,T00165,C0712,1642.81,2024-12-15T00:00:00,CP89325,Denmark,debit,cash
165,T00166,C0614,2163.56,2024-10-20T00:00:00,CP27991,Norway,credit,cash
166,T00167,C0481,822.19,2024-12-20T00:00:00,CP74182,Italy,credit,wire
167,T00168,C0999,838.35,2024-09-21T00:00:00,CP90788,France,credit,wire
168,T00169,C0647,130.0,2024-11-18T00:00:00,CP45155,Spain,credit,internal transfer
169,T00170,C0957,632.85,2024-05-27T00:00:00,CP87913,Spain,debit,wire
170,T00171,C0526,517.13,2024-06-14T00:00:00,CP41380,Belgium,credit,wire
171,T00172,C0580,424.57,2024-06-05T00:00:00,CP35145,Germany,debit,wire
172,T00173,C0846,815.93,2024-12-12T00:00:00,CP63941,Germany,credit,wire
173,T00174,C0286,612.81,2024-08-05T00:00:00,CP97776,Netherlands,credit,internal transfer
174,T00175,C0675,417.38,2024-11-09T00:00:00,CP28255,Belgium,credit,wire
175,T00176,C0822,2938.56,2024-05-31T00:00:00,CP34899,Germany,debit,online payment
176,T00177,C0704,2316.6,2024-12-30T00:00:00,CP81142,Denmark,credit,online payment
177,T00178,C0567,774.69,2024-08-24T00:00:00,CP86251,Spain,debit,internal transfer
178,T00179,C0533,380.91,2024-05-29T00:00:00,CP93701,Mozambique,debit,wire
179,T00180,C0253,460.67,2024-11-20T00:00:00,CP54220,Austria,credit,online payment
180,T00181,C0188,4365.58,2024-09-11T00:00:00,CP59151,Spain,debit,cash
181,T00182,C0252,993.94,2024-05-18T00:00:00,CP84473,Italy,debit,online payment
182,T00183,C0471,1541.82,2024-03-15T00:00:00,CP43387,Austria,debit,wire
183,T00184,C0621,149.56,2024-03-04T00:00:00,CP59356,Denmark,credit,online payment
184,T00185,C0833,1600.06,2024-07-20T00:00:00,CP10428,Senegal,debit,cash
185,T00186,C0069,418.8,2024-05-10T00:00:00,CP74887,Denmark,debit,online payment
186,T00187,C0466,5459.09,2024-10-08T00:00:00,CP86491,Italy,credit,wire
187,T00188,C0841,648.95,2024-10-17T00:00:00,CP65114,Italy,credit,cash
188,T00189,C0204,617.68,2024-08-06T00:00:00,CP92327,Austria,debit,internal transfer
189,T00190,C0502,1809.08,2024-08-31T00:00:00,CP67301,Germany,debit,cash
190,T00191,C0397,751.26,2024-03-12T00:00:00,CP33737,Denmark,debit,online payment
191,T00192,C0126,896.75,2024-01-28T00:00:00,CP15378,Finland,debit,internal transfer
192,T00193,C0868,145.74,2024-02-25T00:00:00,CP81891,Netherlands,credit,cash
193,T00194,C0549,625.08,2024-02-19T00:00:00,CP65478,Italy,credit,cash
194,T00195,C0210,81.51,2024-12-04T00:00:00,CP84261,Netherlands,debit,cash
195,T00196,C0062,19.81,2024-06-21T00:00:00,CP91836,Italy,credit,wire
196,T00197,C0737,649.17,2024-08-08T00:00:00,CP41546,Netherlands,debit,internal transfer
197,T00198,C0237,498.05,2024-11-05T00:00:00,CP84791,Norway,credit,internal transfer
198,T00199,C0770,620.5,2024-10-09T00:00:00,CP56340,France,credit,cash
199,T00200,C0861,539.32,2024-01-12T00:00:00,CP82575,Norway,debit,internal transfer
200,T00201,C0599,761.69,2024-04-22T00:00:00,CP32523,Germany,debit,online payment
201,T00202,C0826,6786.44,2024-07-15T00:00:00,CP36626,Austria,debit,online payment
202,T00203,C0555,1915.77,2024-03-23T00:00:00,CP21950,Denmark,debit,cash
203,T00204,C0585,2697.66,2024-05-18T00:00:00,CP73734,Germany,credit,online payment
204,T00205,C0128,201.15,2024-07-27T00:00:00,CP38963,Finland,credit,cash
205,T00206,C0248,1230.55,2024-03-25T00:00:00,CP32746,France,debit,online payment
206,T00207,C0940,497.8,2024-02-24T00:00:00,CP10415,Sweden,credit,cash
207,T00208,C0245,2224.38,2024-08-10T00:00:00,CP85974,Sweden,credit,cash
208,T00209,C0882,1831.16,2024-07-16T00:00:00,CP68479,Angola,debit,internal transfer
209,T00210,C0219,528.4,2024-02-11T00:00:00,CP63547,Netherlands,debit,internal transfer
210,T00211,C0730,1174.45,2024-03-17T00:00:00,CP60393,Switzerland,credit,cash
211,T00212,C0872,1909.3,2024-07-13T00:00:00,CP13018,Sweden,debit,internal transfer
212,T00213,C0555,2896.81,2024-04-15T00:00:00,CP98252,Italy,debit,internal transfer
213,T00214,C0504,1147.71,2024-09-25T00:00:00,CP54864,Netherlands,credit,wire
214,T00215,C0330,41.87,2024-09-16T00:00:00,CP90692,Sweden,credit,online payment
215,T00216,C0398,3643.02,2024-11-06T00:00:00,CP36931,Netherlands,debit,internal transfer
216,T00217,C0382,312.18,2024-02-09T00:00:00,CP88768,Mozambique,credit,cash
217,T00218,C0858,2400.82,2024-07-12T00:00:00,CP32070,Belgium,debit,wire
218,T00219,C0807,1035.05,2024-04-21T00:00:00,CP51184,Denmark,debit,wire
219,T00220,C0362,1038.73,2024-05-07T00:00:00,CP48099,France,credit,internal transfer
220,T00221,C0921,525.06,2024-11-03T00:00:00,CP71566,Finland,credit,cash
221,T00222,C0984,49.15,2024-10-15T00:00:00,CP41991,Netherlands,debit,cash
222,T00223,C0661,2391.88,2024-08-19T00:00:00,CP12867,Sweden,debit,cash
223,T00224,C0399,1695.66,2024-07-03T00:00:00,CP59934,Spain,debit,cash
224,T00225,C0021,1350.45,2024-08-16T00:00:00,CP65592,Spain,credit,cash
225,T00226,C0092,1150.24,2024-06-27T00:00:00,CP39957,Spain,debit,online payment
226,T00227,C0276,913.29,2024-05-13T00:00:00,CP72721,Denmark,credit,cash
227,T00228,C0162,369.15,2024-10-26T00:00:00,CP94542,Norway,debit,cash
228,T00229,C0530,1828.11,2024-04-10T00:00:00,CP14757,Norway,credit,online payment
229,T00230,C0391,906.91,2024-04-27T00:00:00,CP21792,Austria,debit,internal transfer
230,T00231,C0725,4950.31,2024-02-17T00:00:00,CP90668,Sweden,credit,wire
231,T00232,C0713,1609.61,2024-05-08T00:00:00,CP20388,Germany,debit,online payment
232,T00233,C0538,5376.79,2024-08-19T00:00:00,CP29533,France,debit,wire
233,T00234,C0301,305.45,2024-08-11T00:00:00,CP46505,Austria,debit,wire
234,T00235,C0892,4952.99,2024-04-27T00:00:00,CP63669,Norway,debit,online payment
235,T00236,C0320,364.55,2024-02-04T00:00:00,CP40384,Burkina Faso,credit,cash
236,T00237,C0893,193.62,2024-01-27T00:00:00,CP85053,Côte d'Ivoire,credit,wire
237,T00238,C0671,3056.64,2024-03-31T00:00:00,CP47780,France,credit,cash
238,T00239,C0562,1270.69,2024-08-04T00:00:00,CP32010,France,credit,internal transfer
239,T00240,C0242,34.66,2024-04-10T00:00:00,CP88988,Germany,credit,online payment
240,T00241,C0730,160.35,2024-02-21T00:00:00,CP45264,Belgium,debit,wire
241,T00242,C0837,3057.04,2024-09-30T00:00:00,CP26270,Italy,credit,cash
242,T00243,C0798,1241.79,2024-07-07T00:00:00,CP33451,Austria,credit,wire
243,T00244,C0157,1525.67,2024-04-05T00:00:00,CP42197,Sweden,credit,internal transfer
244,T00245,C0806,17.57,2024-03-28T00:00:00,CP45695,Finland,credit,internal transfer
245,T00246,C0526,3356.57,2024-09-13T00:00:00,CP76127,Belgium,debit,wire
246,T00247,C0917,117.06,2024-03-10T00:00:00,CP31889,Netherlands,debit,online payment
247,T00248,C0050,1266.24,2024-03-08T00:00:00,CP41709,Switzerland,debit,internal transfer
248,T00249,C0883,1877.94,2024-07-07T00:00:00,CP85217,Switzerland,debit,cash
249,T00250,C0802,655.0,2024-05-05T00:00:00,CP69630,Finland,credit,internal transfer
250,T00251,C0180,2477.19,2024-12-31T00:00:00,CP42534,Denmark,credit,cash
251,T00252,C0166,2044.06,2024-01-22T00:00:00,CP18791,Denmark,debit,wire
252,T00253,C0387,292.14,2024-05-27T00:00:00,CP70394,Switzerland,debit,cash
253,T00254,C0542,3207.29,2024-12-12T00:00:00,CP61775,Germany,credit,wire
254,T00255,C0564,1559.45,2024-07-25T00:00:00,CP78819,Norway,credit,internal transfer
255,T00256,C0478,6545.87,2024-09-23T00:00:00,CP56391,Germany,debit,online payment
256,T00257,C0806,1860.36,2024-07-26T00:00:00,CP42955,Lao People's Democratic Republic,debit,internal transfer
257,T00258,C0537,5525.12,2024-03-26T00:00:00,CP75949,Spain,debit,internal transfer
258,T00259,C0879,1385.2,2024-01-19T00:00:00,CP37117,Spain,debit,internal transfer
259,T00260,C0076,1831.57,2024-07-07T00:00:00,CP49117,Switzerland,credit,internal transfer
260,T00261,C0119,1854.68,2024-07-30T00:00:00,CP60144,Switzerland,credit,online payment
261,T00262,C0385,711.97,2024-01-13T00:00:00,CP51228,Denmark,credit,internal transfer
262,T00263,C0499,443.05,2024-01-09T00:00:00,CP38255,Netherlands,debit,cash
263,T00264,C0446,2983.95,2024-03-16T00:00:00,CP68974,Côte d'Ivoire,credit,online payment
264,T00265,C0886,1785.29,2024-03-12T00:00:00,CP95075,Switzerland,credit,online payment
265,T00266,C0813,718.99,2024-05-05T00:00:00,CP28653,Germany,debit,cash
266,T00267,C0017,4615.27,2024-08-12T00:00:00,CP43150,Switzerland,debit,wire
267,T00268,C0499,1019.12,2024-12-30T00:00:00,CP70975,France,debit,internal transfer
268,T00269,C0381,4280.65,2024-08-25T00:00:00,CP27093,France,debit,online payment
269,T00270,C0426,6418.76,2024-05-05T00:00:00,CP29075,Denmark,debit,internal transfer
270,T00271,C0919,2043.43,2024-02-21T00:00:00,CP48721,Netherlands,debit,internal transfer
271,T00272,C0384,109.16,2024-08-26T00:00:00,CP60666,Italy,credit,cash
272,T00273,C0909,2119.35,2024-08-09T00:00:00,CP20239,Germany,credit,cash
273,T00274,C0613,696.14,2024-09-19T00:00:00,CP82300,Belgium,credit,cash
274,T00275,C0489,82.74,2024-09-02T00:00:00,CP18880,Finland,credit,internal transfer
275,T00276,C0361,805.3,2024-06-07T00:00:00,CP76416,Netherlands,credit,online payment
276,T00277,C0170,22.24,2024-02-21T00:00:00,CP29128,Switzerland,credit,online payment
277,T00278,C0763,2483.38,2024-05-18T00:00:00,CP17849,Italy,debit,wire
278,T00279,C0026,1424.69,2024-11-18T00:00:00,CP78300,Spain,debit,internal transfer
279,T00280,C0381,48.87,2024-07-25T00:00:00,CP53783,Denmark,debit,wire
280,T00281,C0818,1898.28,2024-06-26T00:00:00,CP91496,Denmark,credit,wire
281,T00282,C0335,670.74,2024-01-27T00:00:00,CP77763,Netherlands,credit,wire
282,T00283,C0600,263.18,2024-08-12T00:00:00,CP73899,Austria,debit,wire
283,T00284,C0444,2884.8,2024-01-19T00:00:00,CP97335,France,debit,wire
284,T00285,C0799,1588.1,2024-10-16T00:00:00,CP76315,Italy,debit,internal transfer
285,T00286,C0069,13207.21,2024-03-19T00:00:00,CP59535,Belgium,debit,cash
286,T00287,C0339,2161.25,2024-08-13T00:00:00,CP93257,Netherlands,debit,wire
287,T00288,C0274,310.86,2024-04-10T00:00:00,CP22214,Monaco,credit,online payment
288,T00289,C0632,968.66,2024-07-20T00:00:00,CP38866,Spain,credit,internal transfer
289,T00290,C0043,90.02,2024-01-07T00:00:00,CP27424,Norway,credit,wire
290,T00291,C0200,1083.86,2024-04-09T00:00:00,CP64734,Spain,debit,online payment
291,T00292,C0819,3496.51,2024-03-18T00:00:00,CP65956,Switzerland,credit,wire
292,T00293,C0561,1679.52,2024-04-17T00:00:00,CP10074,Switzerland,debit,cash
293,T00294,C0068,356.8,2024-01-20T00:00:00,CP44800,Finland,credit,internal transfer
294,T00295,C0745,1318.13,2024-02-03T00:00:00,CP38717,Finland,debit,cash
295,T00296,C0480,4933.36,2024-03-25T00:00:00,CP98160,Netherlands,debit,online payment
296,T00297,C0506,242.61,2024-12-08T00:00:00,CP70241,Spain,credit,wire
297,T00298,C0832,4593.31,2024-11-11T00:00:00,CP58774,Denmark,credit,cash
298,T00299,C0872,1265.71,2024-05-12T00:00:00,CP85634,France,credit,cash
299,T00300,C0572,1587.82,2024-06-18T00:00:00,CP92775,Finland,credit,wire
300,T00301,C0681,790.63,2024-03-20T00:00:00,CP97523,Italy,credit,internal transfer
301,T00302,C0699,3607.97,2024-10-28T00:00:00,CP78163,Spain,debit,online payment
302,T00303,C0699,654.13,2024-10-31T00:00:00,CP42151,Denmark,credit,internal transfer
303,T00304,C0232,3374.06,2024-08-10T00:00:00,CP73359,Norway,credit,online payment
304,T00305,C0279,795.45,2024-09-17T00:00:00,CP49396,Belgium,debit,online payment
305,T00306,C0511,7206.22,2024-07-26T00:00:00,CP16722,Germany,credit,cash
306,T00307,C0975,1791.47,2024-05-11T00:00:00,CP23958,Germany,debit,wire
307,T00308,C0844,320.27,2024-04-24T00:00:00,CP38698,France,credit,internal transfer
308,T00309,C0902,6255.18,2024-08-25T00:00:00,CP30087,Switzerland,credit,cash
309,T00310,C0949,207.61,2024-10-04T00:00:00,CP76301,Italy,debit,cash
310,T00311,C0372,1064.25,2024-07-23T00:00:00,CP64957,Spain,credit,cash
311,T00312,C0581,804.58,2024-02-11T00:00:00,CP41784,Austria,credit,internal transfer
312,T00313,C0167,1951.33,2024-12-05T00:00:00,CP18692,Spain,credit,cash
313,T00314,C0794,753.63,2024-01-30T00:00:00,CP67098,Spain,credit,wire
314,T00315,C0416,3375.46,2024-03-19T00:00:00,CP64293,Sweden,debit,cash
